year,stock_code,company_name,industry,industry_code,revenue,receivables,gross_profit,operating_income,total_assets,current_assets,ppe,total_liabilities,net_income,operating_cash_flow,matched_accounts,missing_optional_accounts
2023,000390,SP삼화,Manufacturing,20411.0,631381875774.0,150073055433.0,132429575254.0,25826733514.0,590613614037.0,298301302214.0,237566067341.0,281560002691.0,16130730290.0,43574446009.0,,
2024,000390,SP삼화,Manufacturing,20411.0,628348259134.0,143259492420.0,123902558853.0,18981518300.0,619315087530.0,309605425089.0,255692612652.0,289704209848.0,15473334744.0,30175889424.0,,
2019,000430,대원강업,Manufacturing,303.0,960215102441.0,154612355801.0,95955825782.0,26938915914.0,1047989108475.0,321885481351.0,635269952509.0,460690033819.0,21198892867.0,6162416971.0,,
2020,000430,대원강업,Manufacturing,303.0,861230959669.0,159490802260.0,72527676256.0,5212549273.0,1017866946915.0,329646560345.0,585818011088.0,445770949780.0,-2670014389.0,39584998356.0,,
2021,000430,대원강업,Manufacturing,303.0,862222796887.0,148924549163.0,64160028466.0,-4958511406.0,983029517334.0,346751429467.0,506177903370.0,406038473793.0,-2857371907.0,14375102012.0,,
2022,000430,대원강업,Manufacturing,303.0,1024450498787.0,163095892843.0,88078352484.0,22056715849.0,1010418825338.0,380159612604.0,477218458971.0,412406943010.0,23233915898.0,56182941889.0,,
2023,000430,대원강업,Manufacturing,303.0,1106756862193.0,200536197795.0,130436749248.0,59171860226.0,1026303658490.0,415648611932.0,468257985173.0,408110668532.0,37786380416.0,54263486958.0,,
2024,000430,대원강업,Manufacturing,303.0,1367585047000.0,262899224000.0,148401662000.0,22564927000.0,1302349327000.0,534673538000.0,655470730000.0,621334585000.0,31896742000.0,55142023000.0,,
2019,000440,중앙에너비스,Wholesale/Retail,46712.0,65702344320.0,2186088991.0,11780528207.0,638178300.0,61575390254.0,4675589933.0,47061737360.0,16451398136.0,615333077.0,983260736.0,,
2020,000440,중앙에너비스,Wholesale/Retail,46712.0,53564699255.0,1567589977.0,10590460862.0,128643323.0,71325526765.0,22613734633.0,45260575319.0,9718860593.0,19200785212.0,2492069615.0,,
2021,000440,중앙에너비스,Wholesale/Retail,46712.0,60712577714.0,2008873412.0,10405552035.0,37955693.0,64464477812.0,15692197239.0,45177770366.0,4806805841.0,251456957.0,-4369799545.0,,
2022,000440,중앙에너비스,Wholesale/Retail,46712.0,71620870966.0,2161264851.0,11762192460.0,811819806.0,63421752822.0,12084595556.0,44199297518.0,4601893188.0,500081876.0,2298925384.0,,
